happiness_rank,country,happiness_score,upper_confidence_interval,lower_confidence_interval,dystopia_residual,explained_by:_gdp_per_capita,explained_by:_social_support,explained_by:_healthy_life_expectancy,explained_by:_freedom_to_make_life_choices,explained_by:_generosity,explained_by:_perceptions_of_corruption,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,logged_gdp_per_capita
50.0,Kuwait,6.106,6.235,5.977,1.621,1.904,0.983,0.747,0.617,0.087,0.147,0.40958333333333335,29.88,0.5609090909090909,0.145,0.0,8.601718146485926
51.0,Hungary,6.086,6.187,5.985,1.812,1.748,1.233,0.668,0.485,0.078,0.064,0.51375,26.72,0.44090909090909086,0.13,0.0,8.516249889503992
52.0,Mauritius,6.071,6.184,5.958,1.969,1.591,1.116,0.568,0.589,0.131,0.107,0.4650000000000001,22.719999999999995,0.5354545454545454,0.21833333333333335,0.0,8.422160116072067
53.0,Uzbekistan,6.063,6.178,5.948,1.913,1.219,1.092,0.6,0.716,0.283,0.24,0.45500000000000007,23.999999999999996,0.6509090909090909,0.4716666666666666,0.0,8.15589533335937
54.0,Japan,6.039,6.119,5.959,1.487,1.835,1.089,0.866,0.537,0.007,0.218,0.45375,34.64,0.48818181818181816,0.011666666666666667,0.0,8.564812602494431
55.0,Honduras,6.022,6.189,5.855,2.611,1.111,0.885,0.555,0.582,0.202,0.076,0.36875,22.2,0.5290909090909091,0.3366666666666667,0.0,8.063152896029454
56.0,Portugal,6.016,6.122,5.911,1.691,1.76,1.078,0.777,0.655,0.016,0.039,0.4491666666666667,31.08,0.5954545454545455,0.02666666666666667,0.0,8.523090056396487
57.0,Argentina,5.967,6.09,5.844,1.891,1.592,1.102,0.662,0.555,0.081,0.085,0.4591666666666667,26.48,0.5045454545454545,0.135,0.0,8.422788315985933
58.0,Greece,5.948,6.043,5.853,2.119,1.703,0.98,0.774,0.249,0.015,0.108,0.4083333333333333,30.96,0.22636363636363635,0.025,0.0,8.49017430371626
59.0,South Korea,5.935,6.021,5.849,1.656,1.851,0.886,0.841,0.414,0.111,0.176,0.3691666666666667,33.63999999999999,0.3763636363636363,0.185,0.0,8.573492506177496
60.0,Philippines,5.904,6.007,5.8,2.283,1.268,0.912,0.514,0.678,0.107,0.142,0.38,20.56,0.6163636363636363,0.17833333333333334,0.0,8.195294246644485
61.0,Thailand,5.891,5.994,5.788,1.6,1.535,1.096,0.697,0.617,0.321,0.026,0.4566666666666667,27.879999999999995,0.5609090909090909,0.535,0.0,8.38633577155827
62.0,Moldova,5.857,5.948,5.766,2.142,1.417,1.008,0.597,0.561,0.102,0.028,0.42000000000000004,23.88,0.51,0.16999999999999998,0.0,8.306366334395422
63.0,Jamaica,5.85,6.023,5.676,2.164,1.296,1.045,0.646,0.567,0.08,0.053,0.4354166666666667,25.84,0.5154545454545454,0.13333333333333333,0.0,8.217130026679188
64.0,Kyrgyzstan,5.828,5.916,5.741,2.087,1.069,1.109,0.638,0.693,0.208,0.025,0.46208333333333335,25.52,0.6299999999999999,0.3466666666666667,0.0,8.024628390730426
65.0,Belarus,5.821,5.95,5.693,1.811,1.562,1.157,0.629,0.342,0.04,0.282,0.48208333333333336,25.16,0.3109090909090909,0.06666666666666667,0.0,8.40376850150094
66.0,Colombia,5.781,5.903,5.659,1.971,1.452,0.929,0.72,0.545,0.087,0.077,0.3870833333333334,28.799999999999997,0.4954545454545454,0.145,0.0,8.330760337668256
67.0,Bosnia and Herzegovina,5.768,5.877,5.659,1.869,1.468,1.068,0.665,0.448,0.244,0.006,0.44500000000000006,26.6,0.40727272727272723,0.4066666666666667,0.0,8.341716724874226
68.0,Mongolia,5.761,5.845,5.676,1.999,1.393,1.197,0.467,0.398,0.247,0.059,0.49875,18.68,0.3618181818181818,0.4116666666666667,0.0,8.289288323000317
69.0,Dominican Republic,5.737,5.873,5.601,1.751,1.538,1.003,0.577,0.606,0.084,0.179,0.41791666666666666,23.08,0.5509090909090909,0.14,0.0,8.388287816945017
70.0,Malaysia,5.711,5.845,5.578,1.471,1.689,0.938,0.62,0.654,0.213,0.126,0.3908333333333333,24.799999999999997,0.5945454545454545,0.355,0.0,8.481921243047713
71.0,Bolivia,5.6,5.709,5.491,2.107,1.256,0.88,0.555,0.627,0.112,0.064,0.3666666666666667,22.2,0.57,0.18666666666666668,0.0,8.185788095128043
72.0,China,5.585,5.65,5.52,1.516,1.508,0.958,0.705,0.656,0.099,0.142,0.39916666666666667,28.199999999999996,0.5963636363636363,0.165,0.0,8.368593741627304
73.0,Paraguay,5.578,5.689,5.467,1.555,1.409,1.13,0.624,0.629,0.171,0.059,0.4708333333333333,24.959999999999997,0.5718181818181818,0.28500000000000003,0.0,8.300706008673192
74.0,Peru,5.559,5.679,5.439,1.89,1.397,0.865,0.735,0.545,0.09,0.037,0.36041666666666666,29.4,0.4954545454545454,0.15,0.0,8.292154989241231
75.0,Montenegro,5.547,5.681,5.413,1.619,1.573,1.023,0.659,0.46,0.135,0.077,0.42624999999999996,26.36,0.41818181818181815,0.22500000000000003,0.0,8.4107845075744
76.0,Ecuador,5.533,5.653,5.414,1.866,1.352,0.879,0.708,0.565,0.08,0.083,0.36625,28.319999999999997,0.5136363636363636,0.13333333333333333,0.0,8.25942122333869
77.0,Vietnam,5.485,5.57,5.4,1.735,1.252,0.932,0.611,0.707,0.143,0.105,0.38833333333333336,24.439999999999998,0.6427272727272726,0.2383333333333333,0.0,8.182599189806798
78.0,Turkmenistan,5.474,5.578,5.371,1.16,1.484,1.319,0.516,0.649,0.314,0.032,0.5495833333333333,20.64,0.59,0.5233333333333333,0.0,8.352554369474591
79.0,Northern Cyprus,5.467,5.609,5.325,1.078,1.815,0.888,0.819,0.523,0.13,0.213,0.37,32.76,0.4754545454545454,0.21666666666666667,0.0,8.553855690072439
80.0,Russia,5.459,5.525,5.392,1.494,1.685,1.095,0.586,0.401,0.117,0.08,0.45625,23.439999999999998,0.36454545454545456,0.195,0.0,8.479550660848869
81.0,Hong Kong S.A.R. of China,5.425,5.501,5.348,0.642,1.957,0.954,0.942,0.4,0.147,0.383,0.3975,37.67999999999999,0.36363636363636365,0.245,0.0,8.629168921075044
82.0,Armenia,5.399,5.519,5.278,1.654,1.434,0.82,0.668,0.558,0.054,0.21,0.3416666666666667,26.72,0.5072727272727273,0.09,0.0,8.318289188401797
83.0,Tajikistan,5.377,5.468,5.287,1.895,0.966,1.005,0.518,0.572,0.118,0.304,0.41874999999999996,20.72,0.5199999999999999,0.19666666666666666,0.0,7.923348211930155
84.0,Nepal,5.377,5.502,5.251,2.224,0.984,0.784,0.499,0.519,0.237,0.13,0.3266666666666667,19.959999999999997,0.4718181818181818,0.395,0.0,7.941803649364774
85.0,Bulgaria,5.371,5.485,5.257,1.235,1.625,1.163,0.64,0.563,0.123,0.021,0.48458333333333337,25.599999999999998,0.5118181818181817,0.20500000000000002,0.0,8.443300580685964
86.0,Libya,5.33,5.543,5.118,1.544,1.476,0.943,0.606,0.477,0.106,0.179,0.39291666666666664,24.24,0.4336363636363636,0.17666666666666667,0.0,8.347150228920118
87.0,Indonesia,5.24,5.341,5.139,1.3,1.382,0.883,0.539,0.62,0.468,0.047,0.36791666666666667,21.56,0.5636363636363636,0.78,0.0,8.281362352912874
88.0,Ivory Coast,5.235,5.384,5.085,2.652,1.094,0.442,0.322,0.451,0.149,0.124,0.18416666666666667,12.879999999999999,0.41,0.24833333333333332,0.0,8.047737983188773
89.0,North Macedonia,5.199,5.303,5.095,1.461,1.505,0.863,0.637,0.488,0.215,0.031,0.35958333333333337,25.48,0.4436363636363636,0.35833333333333334,0.0,8.366602832783736
90.0,Albania,5.199,5.321,5.076,1.718,1.439,0.646,0.719,0.511,0.138,0.028,0.26916666666666667,28.759999999999998,0.46454545454545454,0.23000000000000004,0.0,8.321769026273204
91.0,South Africa,5.194,5.315,5.073,1.742,1.425,1.088,0.361,0.442,0.089,0.046,0.45333333333333337,14.44,0.4018181818181818,0.14833333333333334,0.0,8.311994801078328
92.0,Azerbaijan,5.173,5.265,5.082,1.098,1.458,1.093,0.56,0.601,0.023,0.341,0.4554166666666667,22.400000000000002,0.5463636363636363,0.03833333333333334,0.0,8.334883063128405
93.0,Gambia,5.164,5.409,4.918,2.531,0.785,0.621,0.369,0.367,0.388,0.103,0.25875000000000004,14.76,0.3336363636363636,0.6466666666666667,0.0,7.715951602787719
94.0,Bangladesh,5.155,5.262,5.049,1.967,1.06,0.614,0.581,0.622,0.125,0.187,0.25583333333333336,23.24,0.5654545454545454,0.20833333333333334,0.0,8.016176445783751
95.0,Laos,5.14,5.263,5.018,1.709,1.239,0.654,0.479,0.679,0.197,0.184,0.2725,19.159999999999997,0.6172727272727273,0.32833333333333337,0.0,8.172164452111904
96.0,Algeria,5.122,5.215,5.03,1.744,1.363,0.97,0.643,0.146,0.106,0.15,0.4041666666666667,25.72,0.13272727272727272,0.17666666666666667,0.0,8.267522309731566
97.0,Liberia,5.122,5.428,4.815,2.844,0.636,0.67,0.309,0.405,0.178,0.08,0.2791666666666667,12.36,0.36818181818181817,0.2966666666666667,0.0,7.505570850936734
98.0,Ukraine,5.084,5.19,4.978,1.331,1.411,1.081,0.583,0.473,0.188,0.017,0.4504166666666667,23.319999999999997,0.42999999999999994,0.31333333333333335,0.0,8.302124096619561
99.0,Congo (Brazzaville),5.075,5.235,4.915,2.658,0.95,0.405,0.355,0.431,0.13,0.146,0.16875,14.2,0.3918181818181818,0.21666666666666667,0.0,7.906652462295524
100.0,Morocco,5.06,5.181,4.938,2.405,1.208,0.268,0.565,0.492,0.02,0.102,0.11166666666666668,22.599999999999998,0.4472727272727272,0.03333333333333333,0.0,8.146833196127668
101.0,Mozambique,5.048,5.273,4.823,2.641,0.578,0.66,0.191,0.593,0.185,0.2,0.275,7.64,0.5390909090909091,0.30833333333333335,0.0,7.410001346240088
102.0,Cameroon,5.048,5.188,4.907,2.469,0.968,0.672,0.317,0.397,0.152,0.074,0.28,12.68,0.3609090909090909,0.25333333333333335,0.0,7.925415716672418
103.0,Senegal,5.046,5.171,4.921,2.419,0.933,0.53,0.447,0.494,0.143,0.081,0.22083333333333335,17.88,0.44909090909090904,0.2383333333333333,0.0,7.888602388977284
104.0,Niger,5.003,5.247,4.76,2.667,0.57,0.56,0.326,0.571,0.165,0.145,0.23333333333333336,13.04,0.519090909090909,0.275,0.0,7.396072331972585
105.0,Georgia,4.973,5.079,4.867,1.583,1.467,0.612,0.595,0.508,0.0,0.208,0.255,23.799999999999997,0.4618181818181818,0.0,0.0,8.341035456325889
106.0,Gabon,4.958,5.091,4.826,1.892,1.459,0.738,0.396,0.343,0.032,0.099,0.3075,15.84,0.3118181818181818,0.05333333333333334,0.0,8.335568534588225
107.0,Iraq,4.941,5.099,4.783,1.894,1.289,0.682,0.554,0.328,0.147,0.046,0.2841666666666667,22.16,0.29818181818181816,0.245,0.0,8.211715618897248
108.0,Venezuela,4.925,5.051,4.8,2.79,0.0,0.968,0.578,0.283,0.225,0.082,0.4033333333333333,23.119999999999997,0.2572727272727272,0.375,0.0,0.0
109.0,Guinea,4.891,5.028,4.753,2.538,0.848,0.566,0.275,0.334,0.214,0.116,0.2358333333333333,11.0,0.30363636363636365,0.3566666666666667,0.0,7.793115410987626
110.0,Iran,4.888,4.995,4.78,1.427,1.41,0.741,0.642,0.281,0.241,0.146,0.30875,25.68,0.25545454545454543,0.40166666666666667,0.0,8.301415304018034
111.0,Ghana,4.872,4.999,4.745,1.972,1.112,0.595,0.409,0.5,0.23,0.056,0.24791666666666667,16.36,0.45454545454545453,0.38333333333333336,0.0,8.06405229798782
112.0,Turkiye,4.744,4.845,4.644,1.059,1.707,0.865,0.702,0.209,0.087,0.115,0.36041666666666666,28.08,0.18999999999999997,0.145,0.0,8.492519864354184
113.0,Burkina Faso,4.67,4.814,4.527,2.313,0.779,0.565,0.32,0.382,0.186,0.126,0.23541666666666666,12.799999999999999,0.34727272727272723,0.31,0.0,7.708282363433738
114.0,Cambodia,4.64,4.765,4.516,1.41,1.019,0.732,0.505,0.74,0.166,0.068,0.305,20.2,0.6727272727272726,0.27666666666666667,0.0,7.976742572741825
115.0,Benin,4.623,4.754,4.492,2.458,0.932,0.064,0.335,0.479,0.127,0.23,0.02666666666666667,13.4,0.4354545454545454,0.21166666666666667,0.0,7.88753040516878
116.0,Comoros,4.609,4.849,4.368,2.304,0.899,0.476,0.424,0.185,0.195,0.125,0.19833333333333333,16.959999999999997,0.16818181818181815,0.325,0.0,7.851494404672658
117.0,Uganda,4.603,4.747,4.459,1.842,0.777,0.875,0.418,0.402,0.222,0.066,0.36458333333333337,16.72,0.3654545454545454,0.37,0.0,7.7057128238944275
118.0,Nigeria,4.552,4.651,4.453,1.784,1.079,0.732,0.3,0.444,0.175,0.038,0.305,11.999999999999998,0.4036363636363636,0.2916666666666667,0.0,8.033936411579564
119.0,Kenya,4.543,4.683,4.403,1.661,1.032,0.605,0.401,0.44,0.322,0.082,0.2520833333333333,16.04,0.39999999999999997,0.5366666666666667,0.0,7.989415160329566
120.0,Tunisia,4.516,4.629,4.403,1.54,1.35,0.596,0.656,0.316,0.029,0.029,0.24833333333333332,26.24,0.28727272727272724,0.04833333333333334,0.0,8.257941221588538
121.0,Pakistan,4.516,4.634,4.397,1.94,1.049,0.413,0.374,0.448,0.181,0.112,0.17208333333333334,14.959999999999999,0.40727272727272723,0.3016666666666667,0.0,8.005748328342108
122.0,State of Palestine,4.483,4.665,4.3,1.368,1.148,0.957,0.521,0.336,0.073,0.079,0.39875,20.84,0.3054545454545454,0.12166666666666666,0.0,8.0959035329611
123.0,Mali,4.479,4.611,4.347,2.373,0.792,0.483,0.311,0.35,0.128,0.042,0.20125,12.44,0.3181818181818181,0.21333333333333335,0.0,7.724825337887495
124.0,Namibia,4.459,4.593,4.326,1.414,1.292,0.877,0.354,0.384,0.067,0.071,0.36541666666666667,14.159999999999998,0.34909090909090906,0.11166666666666668,0.0,8.21403966998785
125.0,Eswatini,4.396,4.607,4.185,1.688,1.274,0.786,0.197,0.259,0.038,0.154,0.3275,7.88,0.23545454545454544,0.06333333333333334,0.0,8.200013648175434
126.0,Myanmar,4.394,4.511,4.277,0.877,1.038,0.829,0.491,0.513,0.452,0.194,0.34541666666666665,19.639999999999997,0.4663636363636363,0.7533333333333334,0.0,7.995210318287666
127.0,Sri Lanka,4.362,4.487,4.237,0.595,1.415,0.934,0.66,0.529,0.15,0.079,0.3891666666666667,26.4,0.4809090909090909,0.25,0.0,8.304954253813413
128.0,Madagascar,4.339,4.53,4.148,2.148,0.67,0.645,0.378,0.202,0.143,0.154,0.26875000000000004,15.12,0.18363636363636363,0.2383333333333333,0.0,7.557622088546248
129.0,Egypt,4.288,4.377,4.198,0.856,1.388,0.732,0.548,0.469,0.041,0.254,0.305,21.92,0.4263636363636363,0.06833333333333334,0.0,8.285693395161374
130.0,Chad,4.251,4.503,3.999,2.419,0.662,0.506,0.225,0.18,0.182,0.077,0.21083333333333334,9.0,0.1636363636363636,0.30333333333333334,0.0,7.545616241628949
131.0,Ethiopia,4.241,4.365,4.118,1.375,0.788,0.809,0.457,0.472,0.205,0.136,0.33708333333333335,18.28,0.429090909090909,0.3416666666666667,0.0,7.7197642781821685
132.0,Yemen,4.197,4.384,4.01,1.561,0.691,1.043,0.384,0.33,0.09,0.098,0.4345833333333333,15.36,0.3,0.15,0.0,7.588468332333305
133.0,Mauritania,4.153,4.356,3.95,1.207,1.1,0.865,0.45,0.304,0.088,0.138,0.36041666666666666,18.0,0.2763636363636363,0.14666666666666667,0.0,8.053205714494222
134.0,Jordan,4.152,4.276,4.029,0.695,1.324,0.724,0.675,0.476,0.058,0.2,0.3016666666666667,27.0,0.4327272727272727,0.09666666666666668,0.0,8.23849917651438
135.0,Togo,4.112,4.272,3.953,2.061,0.771,0.322,0.36,0.292,0.174,0.132,0.13416666666666668,14.399999999999999,0.26545454545454544,0.29,0.0,7.697964350956626
136.0,India,3.777,3.828,3.726,0.795,1.167,0.376,0.471,0.647,0.198,0.123,0.15666666666666668,18.839999999999996,0.5881818181818181,0.33,0.0,8.112313626130124
137.0,Zambia,3.76,3.902,3.618,1.135,0.93,0.577,0.306,0.525,0.203,0.083,0.24041666666666667,12.239999999999998,0.47727272727272724,0.3383333333333334,0.0,7.885382983932328
138.0,Malawi,3.75,3.941,3.56,1.661,0.648,0.279,0.388,0.477,0.14,0.157,0.11625000000000002,15.52,0.4336363636363636,0.23333333333333336,0.0,7.524252798493571
139.0,Tanzania,3.702,3.847,3.558,0.735,0.848,0.597,0.425,0.578,0.248,0.27,0.24875,17.0,0.5254545454545454,0.41333333333333333,0.0,7.793115410987626
140.0,Sierra Leone,3.574,3.732,3.416,1.556,0.686,0.416,0.273,0.387,0.202,0.055,0.17333333333333334,10.92,0.3518181818181818,0.3366666666666667,0.0,7.581209826196346
141.0,Lesotho,3.512,3.748,3.276,1.312,0.839,0.848,0.0,0.419,0.076,0.018,0.35333333333333333,0.0,0.38090909090909086,0.12666666666666668,0.0,7.782449907267101
142.0,Botswana,3.471,3.667,3.275,0.187,1.503,0.815,0.28,0.571,0.012,0.102,0.33958333333333335,11.200000000000001,0.519090909090909,0.02,0.0,8.365273354740339
143.0,Rwanda,3.268,3.462,3.074,0.536,0.785,0.133,0.462,0.621,0.187,0.544,0.05541666666666667,18.48,0.5645454545454545,0.3116666666666667,0.0,7.715951602787719
144.0,Zimbabwe,2.995,3.11,2.88,0.548,0.947,0.69,0.27,0.329,0.106,0.105,0.2875,10.8,0.2990909090909091,0.17666666666666667,0.0,7.903490737577049
145.0,Lebanon,2.955,3.049,2.862,0.216,1.392,0.498,0.631,0.103,0.082,0.034,0.20750000000000002,25.24,0.09363636363636363,0.1366666666666667,0.0,8.288570370569722
146.0,Afghanistan,2.404,2.469,2.339,1.263,0.758,0.0,0.289,0.0,0.089,0.005,0.0,11.559999999999999,0.0,0.14833333333333334,0.0,7.6809671449960835
,Congo (Kinshasa),,,,,,,,,,,,,,,,
