country,happiness_rank,happiness_score,upper_confidence_interval,lower_confidence_interval,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,dystopia_residual,logged_gdp_per_capita,region
Uruguay,28.0,6.4539999961853,6.54590621769428,6.36209377467632,1.41222786903381,55.581076126098644,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,7.105424862627534,Latin America and Caribbean
Guatemala,29.0,6.4539999961853,6.56687397271395,6.34112601965666,1.25558519363403,41.749746408462535,0.531310617923737,0.283488392829895,0.0772232785820961,2.89389109611511,6.771937784900627,Latin America and Caribbean
Panama,30.0,6.4520001411438,6.55713071614504,6.34686956614256,1.37319254875183,54.571746082305935,0.550026834011078,0.21055693924427,0.070983923971653,2.30719995498657,7.118622532745803,Latin America and Caribbean
France,31.0,6.44199991226196,6.51576780244708,6.36823202207685,1.38777685165405,65.26032102584836,0.470222115516663,0.129762306809425,0.172502428293228,2.00595474243164,7.266773897708139,Western Europe
Thailand,32.0,6.42399978637695,6.50911685571074,6.33888271704316,1.42579245567322,50.018632192611676,0.580200731754303,0.572123110294342,0.0316127352416515,2.03950834274292,7.028971323162797,Southeast Asia
Taiwan Province of China,33.0,6.42199993133545,6.49459602192044,6.34940384075046,1.38456535339355,61.359101629257175,0.361466586589813,0.258360475301743,0.0638292357325554,2.1266074180603,7.268659838261745,East Asia
Spain,34.0,6.40299987792969,6.4710548453033,6.33494491055608,1.53209090232849,68.69887516021728,0.408781230449677,0.190133571624756,0.0709140971302986,1.92775774002075,7.233742644041005,Western Europe
Qatar,35.0,6.375,6.56847681432962,6.18152318567038,1.27429687976837,54.87638022422789,0.604130983352661,0.330473870038986,0.439299255609512,1.1454644203186,7.534637481487144,
Colombia,36.0,6.35699987411499,6.45202005416155,6.26197969406843,1.4021829366684,45.983757934570285,0.477487415075302,0.149014472961426,0.0466687418520451,2.61606812477112,6.97692897073409,Latin America and Caribbean
Saudi Arabia,37.0,6.3439998626709,6.44416661202908,6.24383311331272,1.28667759895325,45.6066629219055,0.449750572443008,0.147616013884544,0.27343225479126,2.0654296875,7.334083598946492,Middle East and North Africa
Trinidad and Tobago,38.0,6.16800022125244,6.38153389066458,5.95446655184031,1.3802285194397,40.1843087768555,0.518630743026733,0.325296461582184,0.0089648161083459,2.05324745178223,7.216970760037509,
Kuwait,39.0,6.10500001907349,6.1919569888711,6.01804304927588,1.25969874858856,48.84912912368771,0.496337592601776,0.228289797902107,0.215159550309181,1.64042520523071,7.398757175673379,Middle East and North Africa
Slovakia,40.0,6.09800004959106,6.1773484121263,6.01865168705583,1.50505924224854,55.079999370574924,0.295817464590073,0.136544480919838,0.0242108516395092,2.09777665138245,7.190218927273728,Central and Eastern Europe
Bahrain,41.0,6.08699989318848,6.17898906782269,5.99501071855426,1.32311046123505,50.47412092208864,0.536746919155121,0.172668486833572,0.257042169570923,1.65614938735962,7.306136865422881,Middle East and North Africa
Malaysia,42.0,6.08400011062622,6.17997963652015,5.98802058473229,1.28464603424072,47.81966056823729,0.402264982461929,0.416608929634094,0.0656007081270218,2.00444889068604,7.164113404011613,Southeast Asia
Nicaragua,43.0,6.07100009918213,6.18658360034227,5.95541659802198,1.28721570968628,50.47125583648678,0.447551846504211,0.301674216985703,0.130687981843948,2.51393055915833,6.604349167739577,Latin America and Caribbean
Ecuador,44.0,6.00799989700317,6.10584767535329,5.91015211865306,1.28616881370544,52.98596726417539,0.4551981985569,0.150112465023994,0.140134647488594,2.29035258293152,6.909574022395887,Latin America and Caribbean
El Salvador,45.0,6.00299978256226,6.108635122329,5.89736444279552,1.18212509155273,46.06031375885007,0.432452529668808,0.0782579854130745,0.0899809598922729,2.7145938873291,6.814306311460746,Latin America and Caribbean
Poland,46.0,5.97300004959106,6.05390834122896,5.89209175795317,1.44571197032928,54.05545489311218,0.520342111587524,0.158465966582298,0.0593078061938286,1.79772281646729,7.164556299401063,Central and Eastern Europe
Uzbekistan,47.0,5.97100019454956,6.06553757295012,5.876462816149,1.54896914958954,38.506508660316484,0.658248662948608,0.415983647108078,0.246528223156929,1.81691360473633,6.668788558660521,Commonwealth of Independent States
Italy,48.0,5.96400022506714,6.04273690596223,5.88526354417205,1.44492328166962,65.9309951877594,0.256450712680817,0.17278964817524,0.0280280914157629,1.81331205368042,7.24141400347264,Western Europe
