country,happiness_score,standard_error_of_happiness_score,upper_confidence_interval,lower_confidence_interval,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,explained_by:_log_gdp_per_capita,explained_by:_social_support,explained_by:_healthy_life_expectancy,explained_by:_freedom_to_make_life_choices,explained_by:_generosity,explained_by:_perceptions_of_corruption,dystopia_residual,happiness_rank
Mongolia,5.84,0.046,5.9319999999999995,5.748,9.372,0.933,60.5,0.701,0.19,0.849,1.778,1.379,1.494,0.244,0.425,0.239,0.058,2.001,61.0
Kyrgyzstan,5.825,0.045,5.915,5.735,8.486,0.911,66.852,0.934,0.181,0.904,1.778,1.061,1.439,0.417,0.735,0.234,0.018,1.92,62.0
Moldova,5.819,0.052,5.923,5.715,9.499,0.857,65.299,0.84,-0.08,0.901,1.778,1.425,1.302,0.375,0.61,0.093,0.02,1.995,63.0
China,5.818,0.044,5.906,5.7299999999999995,9.738,0.836,68.689,0.882,-0.041,0.727,1.778,1.51,1.249,0.468,0.666,0.115,0.145,1.666,64.0
Vietnam,5.763,0.052,5.867,5.659,9.287,0.821,65.502,0.939,-0.004,0.759,1.778,1.349,1.212,0.381,0.741,0.134,0.122,1.824,65.0
Paraguay,5.738,0.058,5.854,5.622000000000001,9.51,0.906,65.9,0.891,0.021,0.843,1.778,1.428,1.427,0.392,0.678,0.148,0.062,1.604,66.0
Montenegro,5.722,0.112,5.946000000000001,5.498,9.813,0.89,67.1,0.805,0.063,0.844,1.778,1.537,1.385,0.424,0.563,0.17,0.061,1.581,67.0
Jamaica,5.703,0.089,5.881,5.525,9.165,0.867,66.6,0.822,-0.106,0.875,1.778,1.305,1.329,0.411,0.587,0.079,0.039,1.954,68.0
Bolivia,5.684,0.057,5.798,5.57,8.985,0.811,63.599,0.868,-0.063,0.846,1.778,1.24,1.187,0.329,0.648,0.103,0.06,2.118,69.0
Russia,5.661,0.037,5.734999999999999,5.587,10.21,0.889,64.947,0.719,-0.03,0.801,1.778,1.68,1.383,0.366,0.449,0.12,0.091,1.572,70.0
Bosnia and Herzegovina,5.633,0.073,5.779,5.487,9.616,0.88,67.275,0.746,0.206,0.918,1.778,1.467,1.361,0.429,0.485,0.247,0.008,1.635,71.0
Colombia,5.63,0.06,5.75,5.51,9.584,0.822,69.35,0.804,-0.104,0.834,1.778,1.455,1.213,0.486,0.562,0.08,0.068,1.765,72.0
Dominican Republic,5.569,0.073,5.715,5.423,9.811,0.827,64.399,0.85,-0.099,0.657,1.778,1.536,1.227,0.351,0.623,0.083,0.195,1.553,73.0
Ecuador,5.559,0.063,5.6850000000000005,5.433,9.27,0.806,69.0,0.802,-0.108,0.833,1.778,1.343,1.173,0.476,0.56,0.079,0.069,1.86,74.0
Peru,5.526,0.058,5.6419999999999995,5.41,9.402,0.798,69.85,0.794,-0.119,0.892,1.778,1.39,1.153,0.499,0.549,0.073,0.027,1.835,75.0
Philippines,5.523,0.077,5.677,5.369,8.979,0.78,62.038,0.919,-0.06,0.732,1.778,1.238,1.108,0.286,0.714,0.104,0.141,1.931,76.0
Bulgaria,5.466,0.059,5.5840000000000005,5.348,10.087,0.918,66.5,0.801,-0.057,0.911,1.778,1.635,1.457,0.408,0.557,0.106,0.013,1.289,77.0
